state_index,state_label,sensitivity_mhz_per_g,pi_time_us,wait_time_us,offset,offset_error,amplitude,amplitude_error,phase_rad,phase_error_rad,contrast,contrast_error,residual_rms
8,"[2, 0]",4.0589839045424014e-05,79.04,1875.0,0.5013729898514385,0.006035417314107544,0.1091815841256445,0.008418677767868863,1.6862630435114174,0.07929257815199413,0.21776518946103585,0.016994893770148078,0.019586962822352248
8,"[2, 0]",4.0589839045424014e-05,79.04,2000.0,0.49302947000224445,0.006068320780555799,0.10708056815804197,0.008442966521209985,1.68066611646481,0.08152427268641563,0.21718898092958722,0.017326485999509016,0.020180328816777025
6,"[4, 0]",-1.3868685343823017,46.555037998008025,0.0,0.4976988991846873,0.000160914961677529,0.4972794111406012,0.00016330436933580821,1.570884270843915,0.0008194503202769753,0.9991571449228173,0.00014417009965164154,0.000701974305961562
6,"[4, 0]",-1.3868685343823017,46.555037998008025,125.0,0.496630975781876,0.0008521207129296867,0.4867846215916734,0.0009312558937083678,1.5648973380832163,0.004268628554925216,0.9801737010570054,0.002263013253969805,0.003990310460790239
6,"[4, 0]",-1.3868685343823017,46.555037998008025,250.0,0.4962507964636727,0.0018872887236049984,0.46197529018214756,0.0021821660137353147,1.573714137478048,0.00801718456323539,0.9309310805629423,0.00519960450407385,0.007735916667172741
6,"[4, 0]",-1.3868685343823017,46.555037998008025,375.0,0.5008068541578768,0.003044394128725457,0.4223008945181694,0.0038399443543980375,1.578055260221142,0.01181546494642728,0.8432410439515293,0.009480475983812837,0.012316774793583972
6,"[4, 0]",-1.3868685343823017,46.555037998008025,500.0,0.49538064890444483,0.0035708907395486907,0.40158515939722983,0.004579709542812447,1.5590253274122292,0.014196634971301697,0.8106597629224159,0.010986279805325766,0.019076960635969385
6,"[4, 0]",-1.3868685343823017,46.555037998008025,625.0,0.4987111044335734,0.0043556051087126285,0.35425578198227403,0.005908654930933525,1.5104960558626968,0.0181841367439176,0.7103426790238229,0.013507521954807566,0.017790484418750294
6,"[4, 0]",-1.3868685343823017,46.555037998008025,750.0,0.5072625045197965,0.004769517174894427,0.31585246492137686,0.006427616094124661,1.5447813888579367,0.022514079591595928,0.6226607764364148,0.014122016371935362,0.013082294769006849
6,"[4, 0]",-1.3868685343823017,46.555037998008025,875.0,0.49891330576079956,0.004957782848928118,0.29598542587779497,0.006618638130523378,1.411065576769895,0.02527957407790192,0.5932602367187679,0.014449669724564278,0.01854298770378049
6,"[4, 0]",-1.3868685343823017,46.555037998008025,1000.0,0.5027732217690788,0.005155257343794942,0.2754861948111012,0.006974331204171315,1.3547519498316216,0.027791560426905858,0.5479333084641302,0.014977752099269569,0.016918636424284587
