state_index,state_label,sensitivity_mhz_per_g,pi_time_us,wait_time_us,scan_phase_rad,mean_excited_population,population_std_across_noise_shots,population_sem,fitted_population
7,"[2, -2]",-2.876889912840852,56.401920689074295,1875.0,1.1780972450961724,0.43417679015497224,0.3451717721574893,0.02440733007667386,0.4811412987184497
7,"[2, -2]",-2.876889912840852,56.401920689074295,1875.0,1.5707963267948966,0.47468264820919465,0.350389334968048,0.024776267481135143,0.4881468351111368
7,"[2, -2]",-2.876889912840852,56.401920689074295,1875.0,1.9634954084936207,0.507899818196785,0.3567464654492523,0.02522578448834987,0.4971215502939026
7,"[2, -2]",-2.876889912840852,56.401920689074295,1875.0,2.356194490192345,0.5246220533966415,0.3558534237571667,0.025162636904714264,0.5066991252361666
7,"[2, -2]",-2.876889912840852,56.401920689074295,1875.0,2.748893571891069,0.5315111804354627,0.3606369148485476,0.02550088080356035,0.5154214609739022
7,"[2, -2]",-2.876889912840852,56.401920689074295,1875.0,3.141592653589793,0.5153524333952032,0.34788409484940847,0.02459912025349608,0.5219606609592095
7,"[2, -2]",-2.876889912840852,56.401920689074295,1875.0,3.5342917352885173,0.5058725235889535,0.3497796862023415,0.024733158803497836,0.525321191272321
7,"[2, -2]",-2.876889912840852,56.401920689074295,1875.0,3.9269908169872414,0.5317489258145002,0.33726780588159744,0.02384843526147857,0.5249914416363486
7,"[2, -2]",-2.876889912840852,56.401920689074295,1875.0,4.319689898685965,0.5118270872251991,0.33900907031186756,0.023971561250126863,0.5210216134441811
7,"[2, -2]",-2.876889912840852,56.401920689074295,1875.0,4.71238898038469,0.5133085093197676,0.34349645400567225,0.024288867194094385,0.5140160770514939
7,"[2, -2]",-2.876889912840852,56.401920689074295,1875.0,5.105088062083414,0.5230473635253494,0.3629292744331048,0.02566297510427619,0.5050413618687282
7,"[2, -2]",-2.876889912840852,56.401920689074295,1875.0,5.497787143782138,0.5050867137986643,0.3649788895276287,0.025807904777492202,0.4954637869264642
7,"[2, -2]",-2.876889912840852,56.401920689074295,1875.0,5.890486225480862,0.45662549829138727,0.3627457236337399,0.025649996102783876,0.4867414511887286
7,"[2, -2]",-2.876889912840852,56.401920689074295,2000.0,0.0,0.5189225140946994,0.33959736127837353,0.024013159703299577,0.4762213116250248
7,"[2, -2]",-2.876889912840852,56.401920689074295,2000.0,0.39269908169872414,0.4399068874368528,0.3558198204351136,0.02516026079102485,0.4662655950815531
7,"[2, -2]",-2.876889912840852,56.401920689074295,2000.0,0.7853981633974483,0.4635494738733756,0.35060716851759405,0.024791670639140537,0.45960368172451793
7,"[2, -2]",-2.876889912840852,56.401920689074295,2000.0,1.1780972450961724,0.4561948172196525,0.35920629010406474,0.02539972035774464,0.45724978747213296
7,"[2, -2]",-2.876889912840852,56.401920689074295,2000.0,1.5707963267948966,0.4417496998966078,0.3552949852507269,0.025123149339236334,0.4595622713862193
7,"[2, -2]",-2.876889912840852,56.401920689074295,2000.0,1.9634954084936207,0.4816242655581182,0.33922932798214595,0.02398713581935308,0.4661890787535762
7,"[2, -2]",-2.876889912840852,56.401920689074295,2000.0,2.356194490192345,0.4859345608235206,0.3666533381042495,0.025926306171819877,0.47612133822468183
7,"[2, -2]",-2.876889912840852,56.401920689074295,2000.0,2.748893571891069,0.5043621378966637,0.3530281779387299,0.024962861857040705,0.4878469533312168
7,"[2, -2]",-2.876889912840852,56.401920689074295,2000.0,3.141592653589793,0.47344767028896745,0.36534774320129326,0.02583398667088358,0.4995808054661767
7,"[2, -2]",-2.876889912840852,56.401920689074295,2000.0,3.5342917352885173,0.49260691503163456,0.3548039684272027,0.02508842920667727,0.5095365220096485
7,"[2, -2]",-2.876889912840852,56.401920689074295,2000.0,3.9269908169872414,0.5214525929315402,0.3576442572897036,0.025289267958197574,0.5161984353666836
7,"[2, -2]",-2.876889912840852,56.401920689074295,2000.0,4.319689898685965,0.5186377051441503,0.3370504267031132,0.023833064232359074,0.5185523296190686
7,"[2, -2]",-2.876889912840852,56.401920689074295,2000.0,4.71238898038469,0.5529095325757376,0.35891568652810674,0.025379171581824945,0.5162398457049823
7,"[2, -2]",-2.876889912840852,56.401920689074295,2000.0,5.105088062083414,0.49290471562135674,0.3507122466931308,0.02479910078818821,0.5096130383376254
7,"[2, -2]",-2.876889912840852,56.401920689074295,2000.0,5.497787143782138,0.4913815247855846,0.34141448439598204,0.024141649711170762,0.49968077886651974
7,"[2, -2]",-2.876889912840852,56.401920689074295,2000.0,5.890486225480862,0.4660045354132116,0.35548057570356123,0.0251362725660086,0.48795516375998477
1,"[4, -2]",-3.42018057358473,19.12,0.0,0.0,0.9960802868346428,0.005221976671408309,0.0003692495115550771,0.995724577926264
1,"[4, -2]",-3.42018057358473,19.12,0.0,0.39269908169872414,0.9573904423790711,0.00720124090617503,0.0005092046277714322,0.9578494318770217
1,"[4, -2]",-3.42018057358473,19.12,0.0,0.7853981633974483,0.8496422987160923,0.008600681757218608,0.0006081600393356708,0.8499559525994369
1,"[4, -2]",-3.42018057358473,19.12,0.0,1.1780972450961724,0.6883212329150035,0.01180367480649212,0.0008346458498591386,0.6884699442566969
1,"[4, -2]",-3.42018057358473,19.12,0.0,1.5707963267948966,0.49761198313969257,0.01151643785255287,0.0008143351300653575,0.49797618774467245
1,"[4, -2]",-3.42018057358473,19.12,0.0,1.9634954084936207,0.3073569208350249,0.00919382085510632,0.0006501013071659981,0.307475630662117
1,"[4, -2]",-3.42018057358473,19.12,0.0,2.356194490192345,0.14624986373118987,0.006342863985277809,0.0004485082136133868,0.14597025593299878
1,"[4, -2]",-3.42018057358473,19.12,0.0,2.748893571891069,0.03852272601063004,0.004479688831334871,0.0003167618350242527,0.0380477928099589
1,"[4, -2]",-3.42018057358473,19.12,0.0,3.141592653589793,0.00013696095249093594,0.0002475246769906883,1.7502637761112546e-05,0.00013845798391537434
1,"[4, -2]",-3.42018057358473,19.12,0.0,3.5342917352885173,0.038074299066644716,0.004033739370812533,0.00028522844626406997,0.038013604033157566
1,"[4, -2]",-3.42018057358473,19.12,0.0,3.9269908169872414,0.1455579195269304,0.006933706437284206,0.0004902870840560479,0.14590708331074242
1,"[4, -2]",-3.42018057358473,19.12,0.0,4.319689898685965,0.30667551404227267,0.00903002043912673,0.0006385188686759635,0.30739309165348233
1,"[4, -2]",-3.42018057358473,19.12,0.0,4.71238898038469,0.49942776164098573,0.010149613334358801,0.0007176860415146513,0.4978868481655068
1,"[4, -2]",-3.42018057358473,19.12,0.0,5.105088062083414,0.6889328296255124,0.010397371280460513,0.0007352051738927886,0.6883874052480626
